Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,PC1 Variance,Number of PCs,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
05R000_00,0,0.056827845,0.311788852,0.505330955,4.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2,miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;TGFbeta;miR34a,0.7333333333333333,0.2666666666666666
05R010_01,10,0.059113222,0.323561568,0.426144998,5.0,ZEB2;GSC;miR200c;TWIST1;miR141;miR200a;SNAI1;TGFbeta;SNAI2,miR101;FOXC2;ZEB1;TWIST2;miR200b;miR34a,ZEB2;GSC;miR200c;miR141;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,miR101;FOXC2;ZEB1;TWIST2;TWIST1;miR200a,0.2666666666666666,0.7333333333333333
05R010_02,10,0.071044013,0.35983353,0.597968272,4.666666667,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;SNAI1;TGFbeta;miR34a;SNAI2,TWIST1;miR141;miR200a;miR200b,miR101;TWIST2;TWIST1;miR200a;miR200b,ZEB2;GSC;FOXC2;ZEB1;miR200c;miR141;SNAI1;TGFbeta;miR34a;SNAI2,0.8,0.2
05R010_03,10,0.060030242,0.54420491,0.568372314,5.0,ZEB2;miR101;FOXC2;ZEB1;miR141;TGFbeta;miR34a;SNAI2,GSC;TWIST2;miR200c;TWIST1;miR200a;SNAI1;miR200b,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;TWIST1;TGFbeta;miR34a;SNAI2,TWIST2;miR141;miR200a;SNAI1;miR200b,0.2666666666666666,0.7333333333333333
05R010_04,10,0.095723971,0.291019036,0.445650164,4.666666667,ZEB2;miR101;GSC;ZEB1;TWIST2;miR34a,FOXC2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;SNAI2,TWIST2;miR200c;TWIST1;miR141;miR200a;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;SNAI1;TGFbeta;miR34a,0.7333333333333333,0.2666666666666666
05R010_05,10,0.08767714,0.34313478,0.490209196,5.0,ZEB2;miR101;GSC;ZEB1;TWIST2;miR200c;TWIST1;miR141;SNAI1;TGFbeta;miR34a;SNAI2,FOXC2;miR200a;miR200b,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;SNAI1;TGFbeta;miR34a;SNAI2,TWIST2;TWIST1;miR141;miR200a;miR200b,0.2666666666666666,0.7333333333333333
05R010_06,10,0.064924962,0.204035771,0.381130569,5.0,ZEB2;miR101;GSC;ZEB1;TWIST2,FOXC2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,TWIST1;miR141;miR200a;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;SNAI1;TGFbeta;miR34a,0.6666666666666666,0.3333333333333333
05R010_07,10,0.025412799,0.297958801,0.435084564,7.0,ZEB2;miR200c;TWIST1;miR141;miR200a;miR200b;miR34a,miR101;GSC;FOXC2;ZEB1;TWIST2;SNAI1;TGFbeta;SNAI2,TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;TGFbeta;miR34a,0.4,0.6
05R010_08,10,0.077716411,0.316824385,0.488736564,4.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;TGFbeta,miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;miR34a;SNAI2,ZEB2;GSC;FOXC2;ZEB1;TWIST2;miR200c;SNAI1;TGFbeta;miR34a;SNAI2,miR101;TWIST1;miR141;miR200a;miR200b,0.3333333333333333,0.6666666666666666
05R010_09,10,0.034353833,0.247960547,0.440106691,5.0,ZEB2;miR101;FOXC2;ZEB1;TWIST2;SNAI2,GSC;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;SNAI1;TGFbeta;miR34a,TWIST2;TWIST1;miR141;miR200a;miR200b;SNAI2,0.4666666666666667,0.5333333333333333
05R010_10,10,0.03817969,0.285515635,0.464898364,5.0,ZEB2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,miR101;GSC;FOXC2;ZEB1;TWIST2,TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;TGFbeta;miR34a,0.3333333333333333,0.6666666666666666
05R020_01,20,0.03595956,0.271926757,0.393194651,6.0,ZEB2;miR101;FOXC2;miR200c;miR200a;miR200b;miR34a,GSC;ZEB1;TWIST2;TWIST1;miR141;SNAI1;TGFbeta;SNAI2,GSC;FOXC2;ZEB1;miR141;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,ZEB2;miR101;TWIST2;miR200c;TWIST1;miR200a,0.6666666666666666,0.3333333333333333
05R020_02,20,0.024628818,0.232555711,0.405612339,5.333333333,ZEB2;miR101;ZEB1;TWIST1;miR141;TGFbeta;SNAI2,GSC;FOXC2;TWIST2;miR200c;miR200a;SNAI1;miR200b;miR34a,ZEB1;TWIST1;miR200a;miR200b;SNAI2,ZEB2;miR101;GSC;FOXC2;TWIST2;miR200c;miR141;SNAI1;TGFbeta;miR34a,0.4,0.6
05R020_03,20,0.073129774,0.210994122,0.341338878,5.0,ZEB2;TWIST2;miR200c;TWIST1;miR141;SNAI1;miR200b;TGFbeta,miR101;GSC;FOXC2;ZEB1;miR200a;miR34a;SNAI2,ZEB2;TWIST2;miR200c;TWIST1;miR141;SNAI1;miR200b;TGFbeta,miR101;GSC;FOXC2;ZEB1;miR200a;miR34a;SNAI2,0.0,1.0
05R020_04,20,0.055183882,0.343998498,0.65451045,5.0,ZEB2;miR101;FOXC2;ZEB1;TWIST1,GSC;TWIST2;miR200c;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,FOXC2;TWIST2;miR200c;miR141;miR200a;miR200b,ZEB2;miR101;GSC;ZEB1;TWIST1;SNAI1;TGFbeta;miR34a;SNAI2,0.6,0.4
05R020_05,20,0.019216695,0.277766393,0.426272392,6.0,ZEB2;miR101;FOXC2;ZEB1;TWIST2;miR200a;SNAI1;TGFbeta;miR34a,GSC;miR200c;TWIST1;miR141;miR200b;SNAI2,TWIST2;TWIST1;miR141;miR200b;TGFbeta;SNAI2,ZEB2;miR101;GSC;FOXC2;ZEB1;miR200c;miR200a;SNAI1;miR34a,0.7333333333333333,0.2666666666666666
05R020_06,20,0.035609401,0.446638592,0.603807887,5.666666667,ZEB2;GSC;ZEB1;TWIST2;TGFbeta;SNAI2,miR101;FOXC2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;miR34a,miR101;TWIST1;miR141;miR200a;miR200b,ZEB2;GSC;FOXC2;ZEB1;TWIST2;miR200c;SNAI1;TGFbeta;miR34a;SNAI2,0.7333333333333333,0.2666666666666666
05R020_07,20,0.081523111,0.362054547,0.447722687,5.0,ZEB2;GSC;SNAI1;TGFbeta;SNAI2,miR101;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;miR200b;miR34a,ZEB2;GSC;miR141;miR200a;SNAI1;TGFbeta;miR34a;SNAI2,miR101;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR200b,0.2,0.8
05R020_08,20,0.021194969,0.282915365,0.358055917,6.0,ZEB2;miR101;GSC;miR200c;miR141;TGFbeta;miR34a;SNAI2,FOXC2;ZEB1;TWIST2;TWIST1;miR200a;SNAI1;miR200b,ZEB2;miR200c;TWIST1;miR200a;SNAI1;miR34a,miR101;GSC;FOXC2;ZEB1;TWIST2;miR141;miR200b;TGFbeta;SNAI2,0.5333333333333333,0.4666666666666667
05R020_09,20,0.043554971,0.282769883,0.429148984,5.0,ZEB2;GSC;FOXC2;ZEB1;miR200a;SNAI2,miR101;TWIST2;miR200c;TWIST1;miR141;SNAI1;miR200b;TGFbeta;miR34a,ZEB2;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;SNAI1;TGFbeta;miR34a;SNAI2,miR101;miR141;miR200a;miR200b,0.4666666666666667,0.5333333333333333
05R020_10,20,0.0673835,0.233740351,0.378872313,5.0,ZEB2;GSC;TWIST2;miR141;SNAI1;TGFbeta;SNAI2,miR101;FOXC2;ZEB1;miR200c;TWIST1;miR200a;miR200b;miR34a,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;TGFbeta;miR34a,miR141;miR200a;SNAI1;miR200b;SNAI2,0.6,0.4
