Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps,Number of PCs
GON_000_00,0,0.8646122692691387,0.5699036265457065,0,6
GON_010_01,5,0.5924859711991187,0.10797191612878,10,6
GON_010_02,5,0.8047152332978674,0.2018140825949533,10,6
GON_010_03,5,0.790631408579725,0.2445334686061595,10,7
GON_010_04,5,0.6601138427513118,0.1742915656130003,10,7
GON_010_05,5,0.6428861953249816,0.1619502462211531,10,7
GON_010_06,5,0.6478790973001661,0.0492174602140821,10,6
GON_010_07,5,0.4755530741121053,0.1344489906114311,10,6
GON_010_08,5,0.7872583524216837,0.2671833983281012,10,6
GON_010_09,5,0.5007883975847777,0.0729244721395466,10,5
GON_010_10,5,0.8774724680554504,0.4098020056148903,10,5
GON_010_11,5,0.7164792764999227,0.191013419056008,10,5
GON_010_12,5,0.6833048437074986,0.1245768394615328,10,7
GON_010_13,5,0.8008215854500164,0.42213060045408,10,7
GON_010_14,5,0.4820405353948393,0.0663704816706256,10,7
GON_010_15,5,0.5965363413894401,0.1186285254695724,10,6
GON_010_16,5,0.5652146396641132,0.041162468793914,10,6
GON_010_17,5,0.6810857361985795,0.1104284225169533,10,6
GON_010_18,5,0.3834359233470827,0.0438079325079379,10,7
GON_010_19,5,0.7835774969531092,0.2704212575101249,10,7
GON_010_20,5,0.7621068968361461,0.1815701641105168,10,7
GON_010_21,5,0.6809559899514849,0.1630730577927824,10,7
GON_010_22,5,0.7641987423306492,0.1526675956860607,10,7
GON_010_23,5,0.7937152802319015,0.3363999218813411,10,7
GON_010_24,5,0.7258898779054919,0.1491886553054148,10,5
GON_010_25,5,0.8093660821444914,0.2673592480746005,10,5
GON_010_26,5,0.752389285308744,0.1893677640193176,10,5
GON_010_27,5,0.7081096122814152,0.2130419367203679,10,7
GON_010_28,5,0.4504233118466733,0.1119798210532871,10,7
GON_010_29,5,0.6759227403643645,0.1566738800627606,10,7
GON_010_30,5,0.6215226229223703,0.1549330839267419,10,5
GON_010_31,5,0.7566480876535069,0.1941261797692453,10,5
GON_010_32,5,0.5378083210041168,0.052981129370107,10,5
GON_010_33,5,0.7361774708665559,0.1303569109637243,10,6
GON_010_34,5,0.5711109253571176,0.1056216510310966,10,6
GON_010_35,5,0.5087551144689121,0.1167174912968428,10,6
GON_010_36,5,0.5966514722474572,0.1445777189275729,10,6
GON_010_37,5,0.6415777558813455,0.134163295886997,10,6
GON_010_38,5,0.5325383793158783,0.0626408708323443,10,6
GON_010_39,5,0.566689867381853,0.152916119659815,10,5
GON_010_40,5,0.5575312867060739,0.0631751130672311,10,5
GON_010_41,5,0.783308213596655,0.2741255296249053,10,5
GON_010_42,5,0.5373955804052359,0.0560861930950788,10,7
GON_010_43,5,0.45544037958188,0.073622899307788,10,7
GON_010_44,5,0.7722561935536586,0.2141514086908486,10,7
GON_010_45,5,0.7465541730723918,0.1281531327145606,10,7
GON_010_46,5,0.8412414417451428,0.2485171444933331,10,7
GON_010_47,5,0.6624658437342114,0.1474122862009367,10,7
GON_010_48,5,0.6026516931364543,0.1009994148867457,10,7
GON_010_49,5,0.7546343831656804,0.149583234862439,10,7
GON_010_50,5,0.7614102062845703,0.2014449639383153,10,7
GON_020_01,10,0.7412635677296274,0.1720644386323076,20,7
GON_020_02,10,0.4076036801419171,0.0675905085289345,20,7
GON_020_03,10,0.6960555467908099,0.1946978853731599,20,7
GON_020_04,10,0.648617641658826,0.0914106476052834,20,8
GON_020_05,10,0.4375943426213666,0.030976534892321,20,8
GON_020_06,10,0.3640687366147654,0.0569338209021036,20,8
GON_020_07,10,0.4431230242295315,0.0726387825604314,20,5
GON_020_08,10,0.5575375809599671,0.0424491278268439,20,5
GON_020_09,10,0.4466923425989626,0.0217626326379475,20,5
GON_020_10,10,0.4755992993375029,0.1117692934139835,20,7
GON_020_11,10,0.4559942597879496,0.0580726940883388,20,7
GON_020_12,10,0.7353924965311917,0.1979818617006595,20,7
GON_020_13,10,0.7309754158928937,0.1207992074654636,20,7
GON_020_14,10,0.5266148951716615,0.0496814944609387,20,7
GON_020_15,10,0.6721201271894568,0.0902888685952443,20,7
