Network,1,2,3
EMT_000,0.754477629,0.755070337,0.755913175
EMT_001,0.201382877,0.206469538,0.201822983
EMT_002,0.178546631,0.179800361,0.177169854
EMT_003,0.293703917,0.289117781,0.290247663
EMT_004,0.184413178,0.190322155,0.190940148
EMT_005,0.28302371,0.282605293,0.282350987
EMT_006,0.254384326,0.257557012,0.25569246
EMT_007,0.238180183,0.237599026,0.235751571
EMT_008,0.17719915,0.159107263,0.185304243
EMT_009,0.180968379,0.177618953,0.176775387
EMT_010,0.16019415,0.160329783,0.115556353
EMT_011,0.114491047,0.130889218,0.131231387
EMT_012,0.245997495,0.248995589,0.246693274
EMT_013,0.170537551,0.167051764,0.17275483
EMT_014,0.235537851,0.231915675,0.271885586
EMT_015,0.198939476,0.194987864,0.192007948
EMT_016,0.190871234,0.19232864,0.193778315
EMT_017,0.250480067,0.248021247,0.250687676
EMT_018,0.247926141,0.248092328,0.244044686
EMT_019,0.098344445,0.094991282,0.096100039
EMT_020,0.207412217,0.208620067,0.204039428
EMT_021,0.175903118,0.174246833,0.17470626
EMT_022,0.194506238,0.187247278,0.192019601
EMT_023,0.271819719,0.27776695,0.26754121
EMT_024,0.150149964,0.146774166,0.152099054
EMT_025,0.195949671,0.198339214,0.19491968
EMT_026,0.250836948,0.25103588,0.248777722
EMT_027,0.15424287,0.1488918,0.145499856
EMT_028,0.308521192,0.307822396,0.307481966
EMT_029,0.196665028,0.194087019,0.198897557
EMT_030,0.156877356,0.151601237,0.133866412
EMT_031,0.393934336,0.393154892,0.390794312
EMT_032,0.242673888,0.24514992,0.248675631
EMT_033,0.301421473,0.306491427,0.304600317
EMT_034,0.211502261,0.246980702,0.209995411
EMT_035,0.148088417,0.155942097,0.153429888
EMT_036,0.165320314,0.163478338,0.16634549
EMT_037,0.213379478,0.206375908,0.207860161
EMT_038,0.267177224,0.264857543,0.266217098
EMT_039,0.208292195,0.207485688,0.21221275
EMT_040,0.188671468,0.155055083,0.194179448
EMT_041,0.122843221,0.1287089,0.156279935
EMT_042,0.280076993,0.285803657,0.28346476
EMT_043,0.215575657,0.2140346,0.219715076
EMT_044,0.239791808,0.239287624,0.239744818
EMT_045,0.197560489,0.189526534,0.194113396
EMT_046,0.125856821,0.130435846,0.172464094
EMT_047,0.247459766,0.251613265,0.242777353
EMT_048,0.188483004,0.19068033,0.187683027
EMT_049,0.281314277,0.285961079,0.276475426
EMT_050,0.156674727,0.197246438,0.196535933
EMT_051,0.238056643,0.234557569,0.23476034
EMT_052,0.255105988,0.239641705,0.243446947
EMT_053,0.150973794,0.156004882,0.152082243
EMT_054,0.192997802,0.186774959,0.189699932
EMT_055,0.145177139,0.157714941,0.159586727
EMT_056,0.218363239,0.216393222,0.219795272
EMT_057,0.371076686,0.367397769,0.371851709
EMT_058,0.308018187,0.3071981,0.31022306
EMT_059,0.224354131,0.256048326,0.221533483
EMT_060,0.238110335,0.226396094,0.234560561
EMT_061,0.223359467,0.225255741,0.224308559
EMT_062,0.159334152,0.162459719,0.158824741
EMT_063,0.246869147,0.246918721,0.248296321
EMT_064,0.15148867,0.145618932,0.150284809
EMT_065,0.19059454,0.191229446,0.154473612
EMT_066,0.233354635,0.175834336,0.232222107
EMT_067,0.159417694,0.225264093,0.173332282
EMT_068,0.1677806,0.165380449,0.17226511
EMT_069,0.225150969,0.219263503,0.220880411
EMT_070,0.446974225,0.445255132,0.447179186
EMT_071,0.206976673,0.20753386,0.204877438
EMT_072,0.22973494,0.229589869,0.230270981
EMT_073,0.215276176,0.210355556,0.207587938
EMT_074,0.234919605,0.231241668,0.231162361
EMT_075,0.143311473,0.168029577,0.162495031
EMT_076,0.269117042,0.261842529,0.269867363
EMT_077,0.118216346,0.133700578,0.121465998
EMT_078,0.191972929,0.195953818,0.201781412
EMT_079,0.208294876,0.202218471,0.207523101
EMT_080,0.197655631,0.202612459,0.202479824
EMT_081,0.143888757,0.141943151,0.14558865
EMT_082,0.169652481,0.161933892,0.168979761
EMT_083,0.143294435,0.136004736,0.132886133
EMT_084,0.263442764,0.265169815,0.269276486
EMT_085,0.20085893,0.2048901,0.140300773
EMT_086,0.260618997,0.259829785,0.265116778
EMT_087,0.220153905,0.221589372,0.226970937
EMT_088,0.163555605,0.157855069,0.15912494
EMT_089,0.273290117,0.291183605,0.275122159
EMT_090,0.25179283,0.251227227,0.252383533
EMT_091,0.239837839,0.239909853,0.242010067
EMT_092,0.259248895,0.261283321,0.260157009
EMT_093,0.245152405,0.248056394,0.24392305
EMT_094,0.320741802,0.314173991,0.321499644
EMT_095,0.202360945,0.20292381,0.204005339
EMT_096,0.3965281,0.396840304,0.398504775
EMT_097,0.286632055,0.289562729,0.29249449
EMT_098,0.209857478,0.208544363,0.209967743
EMT_099,0.383411359,0.38000035,0.375861157
EMT_100,0.341447461,0.342636897,0.338385307
