Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_16_00,10,0.127291686,0.473064309,4,0.747998744,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9,GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,0.777777778,0.222222222
GON_16_01,10,0.126939591,0.331067536,6,0.525434034,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;SOX9;DMRT1,DKK1;WT1mKTS;FGF9;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.222222222,0.777777778
GON_16_10,10,0.051704577,0.292676237,7,0.427132135,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9,GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;AMH;SOX9;DMRT1,0.833333333,0.166666667
GON_16_11,10,0.086143183,0.390824843,6,0.603965673,DKK1;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;FOXL2;SOX9;DMRT1,PGD2;WT1mKTS;AMH;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,CBX2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.333333333,0.666666667
GON_16_12,10,0.052897457,0.313710638,7,0.520646842,DKK1;DMRT1;WNT4;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1;CTNNB1,UGR;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;NR5A1;AMH;SOX9;GATA4;DMRT1,0.333333333,0.666666667
GON_16_13,10,0.063172821,0.31020258,8,0.417469719,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;NR5A1;AMH;FOXL2;SOX9,UGR;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;SRY;WT1pKTS;FGF9;CBX2;NR5A1;AMH;SOX9;DMRT1;CTNNB1,WT1mKTS;UGR;FOXL2;GATA4;WNT4;RSPO1;NR0B1,0.222222222,0.777777778
GON_16_14,10,0.094639327,0.556931859,6,0.691200849,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;NR5A1;FOXL2;SOX9,UGR;AMH;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.277777778,0.722222222
GON_16_15,10,0.04187532,0.265116617,7,0.397860781,DKK1;PGD2;SRY;WT1pKTS;FGF9;FOXL2;SOX9,WT1mKTS;CBX2;UGR;NR5A1;AMH;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;AMH;SOX9;DMRT1,0.666666667,0.333333333
GON_16_16,10,0.02899173,0.274719852,7,0.511834057,DKK1;PGD2;WT1mKTS;SRY;FGF9;CBX2;UGR;NR5A1;FOXL2;SOX9,WT1pKTS;AMH;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FGF9;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.333333333,0.666666667
GON_16_17,10,0.03748321,0.352289281,7,0.519337232,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9,GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,DKK1;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.222222222,0.777777778
