Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
10R000_00,10,0.151846807,0.688409129,2,0.867868588,TCF4;TCF12;SOX11;SOX2;OVOL2;ELF3;TCF3;KDM5B;CBFA2T2;FOXA1;MYB;PAX5;POU3F2;ETS2;ASCL1;FLI1;FOXA2;PBX1;LEF1,ATF2;CEBPD;MYC;REST;MITF;TCF7L2;NEUROD1;NFKB1;ZEB1;INSM1;BHLHE40;TEAD4;KLF4;SMAD3,TCF4;TCF12;SOX11;SOX2;OVOL2;ELF3;TCF3;KDM5B;CBFA2T2;FOXA1;MYB;PAX5;POU3F2;ETS2;ATF2;ASCL1;FLI1;FOXA2;PBX1;LEF1;CEBPD;NEUROD1;INSM1,MYC;REST;MITF;TCF7L2;NFKB1;ZEB1;BHLHE40;TEAD4;KLF4;SMAD3,0.121212121,0.878787879
10R010_01,10,0.083193657,0.564615124,4,0.82154287,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ATF2,SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,CEBPD;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;NEUROD1;KLF4;MYC;MITF;NFKB1;TCF7L2,0.818181818,0.181818182
10R010_02,10,0.145880249,0.691278661,3,0.810468918,BHLHE40;REST;SMAD3;ZEB1;TEAD4;MITF;NFKB1;TCF7L2,CEBPD;NEUROD1;KLF4;MYC;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,0.909090909,0.090909091
10R010_03,10,0.151600461,0.688730533,2,0.867021779,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;MYC;MITF;NFKB1;TCF7L2,NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,0.060606061,0.939393939
10R010_04,10,0.161783213,0.710466098,1.666666667,0.898599278,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;MYC;MITF;NFKB1;TCF7L2,NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,0.939393939,0.060606061
10R010_05,10,0.140422931,0.626591461,3,0.812193785,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;MYC;MITF;NFKB1;TCF7L2;ELF3,NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,0.121212121,0.878787879
10R010_06,10,0.114270787,0.617716077,1.333333333,0.900320087,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;MYC;INSM1;MITF;NFKB1;SOX11;TCF7L2;ATF2,KLF4;PAX5;TCF3;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,0.212121212,0.787878788
10R010_07,10,0.127846114,0.541273445,3,0.843150942,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;MITF;NFKB1;TCF7L2;ATF2,PAX5;SOX11;TCF3;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,0.848484848,0.151515152
10R010_08,10,0.080762191,0.637072795,6,0.794419091,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ATF2;ELF3;KDM5B,SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,0.727272727,0.272727273
10R010_09,10,0.144071575,0.651911801,3,0.815849864,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;MITF;NFKB1;TCF7L2;ATF2,PAX5;SOX11;TCF3;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,0.151515152,0.848484848
