Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
EMT_0000,0,0.6252708261088711,0.7851634017077901,1,0.9459336043043282,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0401,4,0.4563106282381438,0.7684704372620349,1,0.9356009195240927,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0402,4,0.3853474488566473,0.7853062999393609,1,0.9110838043677236,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0403,4,0.5017937093817058,0.7803627193354962,1,0.9338480069255346,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0404,4,0.5610310619864365,0.7869178143327439,1,0.9302010769053144,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0405,4,0.5610310619864365,0.7870185753034714,1,0.930327514309766,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0406,4,0.3768615957353576,0.7665696937150447,2,0.8805669481902405,0.9333333333333332,0.0666666666666666,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0407,4,0.4934595405646707,0.6724808856010145,1,0.9157968651218144,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0408,4,0.4811632087895983,0.7868254607586892,1,0.940472160448634,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0409,4,0.2136350427899523,0.779043159587094,1,0.9256031407891108,0.0666666666666666,0.9333333333333332,miR200a;miR200c;miR200b;miR34a;miR141,miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0410,4,0.4054723830119768,0.5272893909040394,2,0.873606223943988,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0801,8,0.3400162458139381,0.6944704598890183,2,0.8704088592911892,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0802,8,0.1408114796433003,0.6968899898398107,2,0.852838211284266,0.2,0.8,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0803,8,0.2853864895111966,0.6571697209132085,2,0.8634079881297745,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0804,8,0.1519178103462962,0.3773180792845121,3,0.6316542449122561,0.8,0.2,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0805,8,0.346102198807921,0.7718065308158875,2,0.8700579095137854,1.0,0.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0806,8,0.4088679777934859,0.7746761857939011,1,0.903835736201712,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0807,8,0.1301923152558981,0.5272062321718575,3,0.7207780196936913,0.0666666666666666,0.9333333333333332,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0808,8,0.259503623099571,0.776264088033527,1,0.8994975764570018,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0809,8,0.4987306929967024,0.7860113031906488,1,0.9320716947488498,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0810,8,0.2529689019361595,0.557186449818999,3,0.7933998148828044,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1201,12,0.1968389773305477,0.6233541390281206,2,0.8105911929432333,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
