Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
GON_000,0,0.52350165,0.669124216,2,0.864805823,0,1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_001,100,0.035589451,0.221453277,9,0.350667938,0.555555556,0.444444444,FGF9;WT1mKTS;WT1pKTS;DMRT1;NR5A1;UGR;AMH;GATA4;RSPO1;WNT4,CBX2;SRY;SOX9;DKK1;PGD2;FOXL2;CTNNB1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_002,100,0.017647454,0.183522334,10,0.450359478,0.333333333,0.666666667,FGF9;CBX2;WT1mKTS;DMRT1;NR5A1;DKK1;UGR;AMH;GATA4;RSPO1;CTNNB1;WNT4;NR0B1,SRY;WT1pKTS;SOX9;PGD2;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_003,100,0.022916998,0.194861321,9,0.374915513,0.555555556,0.444444444,FGF9;DMRT1;DKK1;RSPO1;FOXL2,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;NR5A1;UGR;AMH;PGD2;GATA4;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_004,100,0.022510956,0.271231381,8,0.437433141,0.555555556,0.444444444,FGF9;WT1mKTS;SOX9;DKK1;UGR;AMH;PGD2;RSPO1;CTNNB1;WNT4;NR0B1,CBX2;SRY;WT1pKTS;DMRT1;NR5A1;GATA4;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_005,100,0.030967153,0.166426084,9,0.347811757,0.166666667,0.833333333,FGF9;CBX2;WT1mKTS;SOX9;RSPO1;WNT4;NR0B1,SRY;WT1pKTS;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_006,100,0.042934596,0.13667366,9,0.372232185,0.5,0.5,FGF9;CBX2;WT1pKTS;NR5A1;DKK1;UGR;AMH;GATA4;RSPO1;CTNNB1;NR0B1,WT1mKTS;SRY;SOX9;DMRT1;PGD2;FOXL2;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_007,100,0.03111838,0.33472201,8,0.395098694,0.277777778,0.722222222,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;DKK1;UGR;AMH;PGD2;RSPO1;FOXL2;CTNNB1;WNT4,NR5A1;GATA4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_008,100,0.062907741,0.378267247,7,0.589792588,0.333333333,0.666666667,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;UGR;AMH;PGD2;GATA4;FOXL2;NR0B1,DKK1;RSPO1;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_009,100,0.035333419,0.480956998,7,0.628530682,0.555555556,0.444444444,FGF9;CBX2;SOX9;DMRT1;NR5A1;AMH;PGD2;FOXL2;CTNNB1;WNT4;NR0B1,WT1mKTS;SRY;WT1pKTS;DKK1;UGR;GATA4;RSPO1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
