Network,Number of Swaps,Influence Team Strength,PC1 Variance,Number of PCs
10R000_00,0,0.101351813,0.730613122,7
10R010_01,10,0.0831936565922986,0.8189212416999408,4
10R010_02,10,0.1458802486924995,0.8088786643344148,3
10R010_03,10,0.1516004606094899,0.8658383147777312,2
10R010_04,10,0.1617832132787549,0.9005144226460529,1
10R010_05,10,0.1404229311134692,0.8134158098208144,3
10R010_06,10,0.1142707867766442,0.8993123739165544,2
10R010_07,10,0.1278461141198864,0.8451578064054579,3
10R010_08,10,0.0807621913784494,0.793054900951682,6
10R010_09,10,0.144071575430962,0.8140565086978033,3
10R010_10,10,0.1875704833234401,0.9000609129466172,1
10R050_01,50,0.1268952567041548,0.7849198138315948,8
10R050_02,50,0.0730416368336438,0.6947895887472852,13
10R050_03,50,0.0494311283073454,0.6135557656347866,14
10R050_04,50,0.0915493478644156,0.7248444546518827,8
10R050_05,50,0.072785978742337,0.6545861206760727,11
10R050_06,50,0.064668638923798,0.5664195628693152,14
10R050_07,50,0.0848097201262631,0.8158776373442859,5
10R050_08,50,0.0890189776683712,0.7172695796485647,11
10R050_09,50,0.0934773783768571,0.7636522108697463,8
10R050_10,50,0.0788260398152551,0.7591797584635707,10
10R100_01,100,0.0232081383262681,0.4624090358784325,17
10R100_02,100,0.023261631135604,0.5272903547263792,15
10R100_03,100,0.0443247170146153,0.4723989788795557,16
10R100_04,100,0.03405961287541,0.5222225203004218,15
10R100_05,100,0.0302454299314847,0.6291713636053219,12
10R100_06,100,0.0414428169520403,0.4037454234154168,17
10R100_07,100,0.0355699986502852,0.5171888692551275,15
10R100_08,100,0.0243195049736836,0.537629430578237,15
10R100_09,100,0.0801166656551608,0.4996023282572148,16
10R100_10,100,0.0250396016531362,0.2790801728295954,19
10R200_01,200,0.043248889902435,0.4678390212034067,16
10R200_02,200,0.0143398103100002,0.2287687128103865,21
10R200_03,200,0.0122188282786279,0.2955813302404998,20
10R200_04,200,0.0130893657268675,0.2498331661129375,20
10R200_05,200,0.0389008871029474,0.3375527505820906,19
10R200_06,200,0.0121220857686763,0.2594771210429642,19
10R200_07,200,0.0119700497496068,0.4214586259257414,17
10R200_08,200,0.0226916149414258,0.4719806662594964,16
10R200_09,200,0.0243119952432509,0.2482969514577271,20
10R200_10,200,0.0140217679422934,0.2719688997620952,19
10R300_01,300,0.0257188076095063,0.3421843494876106,18
10R300_02,300,0.0151135834381787,0.3494288424776262,19
10R300_03,300,0.0144662925394139,0.21860197215994,19
