Network,1,2,3
03R000_00,0.312558404068219,0.3156865488372493,0.30712160399989935
03R010_01,0.3248112006766435,0.3227073561913423,0.3231661480283989
03R010_02,0.35912031191615656,0.359437658359414,0.3609426207587322
03R010_03,0.544323588573872,0.5457391493986959,0.5425519922314106
03R010_04,0.2916220052372161,0.2930547558607359,0.2883803478909397
03R010_05,0.34113842564640706,0.3442234407178816,0.3440424737101347
03R010_06,0.19050268792622993,0.18837269560756859,0.23323192829456385
03R010_07,0.29693602638416594,0.29786846275789197,0.2990719151022414
03R010_08,0.31542357622158435,0.3176633187430167,0.3173862596225265
03R010_09,0.24828200986161442,0.2470017022090935,0.24859792804543066
03R010_10,0.30615580732156855,0.3080627463677392,0.24232835113185697
03R020_01,0.26992360191239917,0.26905714802519787,0.2767995220116056
03R020_02,0.24193473800664103,0.24018185252093024,0.21555054252784403
03R020_03,0.208956499578356,0.21088053279298064,0.213145333266322
03R020_04,0.34280247724105395,0.3523783930803705,0.336814622211334
03R020_05,0.2742323477190466,0.2793986556568553,0.27966817671529504
03R020_06,0.44544621702885745,0.4473338543522315,0.44713570557624227
03R020_07,0.3630147305549119,0.36222476460657704,0.36092414477716456
03R020_08,0.28439964942380047,0.28265308290084584,0.28169336215603225
03R020_09,0.28410187110975,0.2823123610248815,0.28189541550581326
03R020_10,0.23618240386461548,0.23249444249401752,0.23254420593496186
03R030_01,0.23597540989098686,0.2362297547107391,0.23292888519883642
03R030_02,0.19944587217795803,0.19487680132553498,0.20018203127206263
03R030_03,0.27809655769486596,0.28423929439255124,0.28031241855419564
03R030_04,0.25477828744165837,0.2507699138288517,0.25573942533790633
03R030_05,0.23062412025239887,0.23454255724983702,0.23224190618074392
03R030_06,0.2654896647951795,0.2934562732412631,0.2664524960062876
03R030_07,0.3864528523653169,0.38935703302206914,0.3880335049037734
03R030_08,0.24184179705942133,0.23555344125055458,0.23723719516073802
03R030_09,0.27818212509359935,0.2737476826138785,0.2812093745907987
03R030_10,0.33128883081400906,0.3275792599300209,0.3281110037306046
03R040_01,0.14739535469639195,0.14468060958994966,0.13981082783312695
03R040_02,0.28571228196321385,0.2828525458406658,0.28200559047699136
03R040_03,0.26239281657496893,0.26288966074226877,0.26245124511866263
03R040_04,0.34789992659227387,0.3505498606557919,0.34684115400801036
03R040_05,0.25272402559383866,0.2541207845090391,0.2528500686756111
03R040_06,0.42663244274926637,0.4269508380724363,0.43414604780379845
03R040_07,0.23718888556788031,0.24614680969770972,0.23610365121192137
03R040_08,0.2994159772501622,0.2972042953135667,0.29947453551402015
03R040_09,0.32310509503450513,0.3227065567338945,0.31788289018471055
03R040_10,0.2283342520327289,0.23623010330109073,0.159107096996963
03R050_01,0.29656584170545347,0.2918530621732005,0.2925627478354973
03R050_02,0.21377613607672166,0.21473190051680002,0.2204004955248173
03R050_03,0.3457089805072073,0.34003376550793085,0.3419497191014287
03R050_04,0.3345657830622757,0.33135883873052907,0.32861048841825163
03R050_05,0.45692675003840233,0.45879372148987596,0.4564909647741315
03R050_06,0.1948475990102084,0.19114468706866264,0.19320471482298746
03R050_07,0.18984489099732801,0.19550538603293072,0.1907289438383448
03R050_08,0.22961905367497604,0.22517375365813633,0.2272205908008268
03R050_09,0.32847192337787784,0.330305712506889,0.3282494822485722
03R050_10,0.1426595948725481,0.1232287018935482,0.13714615695273114
03R060_01,0.21645183563932505,0.21083176994692993,0.21037125234247883
03R060_02,0.2900647029182268,0.2920255104684925,0.29431840995656566
03R060_03,0.24043819815018352,0.2425990706479436,0.23895814103694737
03R060_04,0.234667212008701,0.24054363416047303,0.24119890409697492
03R060_05,0.3806318461692846,0.3775839183604426,0.37724562383474713
03R060_06,0.4131266453928606,0.41528243413687504,0.4113242497658151
03R060_07,0.10982560923311002,0.11935457221223489,0.10821522482510418
03R060_08,0.3386137984613268,0.33429835221503545,0.3398052601342778
03R060_09,0.26494703744383075,0.2602197389176698,0.25845927318935713
03R060_10,0.29827214640886657,0.29585991876195317,0.29850003214559695
03R070_01,0.23535569927005712,0.23899302862402116,0.24032954856144856
03R070_02,0.30838313564579223,0.3056155765723918,0.3052006518991553
03R070_03,0.20127945618446025,0.20453147109389366,0.20264377263148114
03R070_04,0.14862892923480786,0.14248707135616043,0.15269875198995303
03R070_05,0.23218048949519332,0.20169226171762267,0.23044964488408132
03R070_06,0.26087706280889067,0.2959128526679253,0.26112377289723143
