Network,1,2,3
03R000_00,0.05682784524892313,0.05682784524892313,0.05682784524892313
03R010_01,0.05911322199897208,0.05911322199897208,0.05911322199897208
03R010_02,0.07104401277337949,0.07104401277337949,0.07104401277337949
03R010_03,0.06003024156093066,0.06003024156093066,0.06003024156093066
03R010_04,0.09572397071287693,0.09572397071287693,0.09572397071287693
03R010_05,0.08767713957831488,0.08767713957831488,0.08767713957831488
03R010_06,0.06492496216838008,0.06492496216838008,0.06492496216838008
03R010_07,0.025412798575823858,0.025412798575823858,0.025412798575823858
03R010_08,0.07771641146130066,0.07771641146130066,0.07771641146130066
03R010_09,0.034353832823612866,0.034353832823612866,0.034353832823612866
03R010_10,0.03817969004770113,0.03817969004770113,0.03817969004770113
03R020_01,0.03595955996328748,0.03595955996328748,0.03595955996328748
03R020_02,0.02462881845339658,0.02462881845339658,0.02462881845339658
03R020_03,0.07312977386938949,0.07312977386938949,0.07312977386938949
03R020_04,0.05518388180584993,0.05518388180584993,0.05518388180584993
03R020_05,0.019216694983249367,0.019216694983249367,0.019216694983249367
03R020_06,0.035609400933559736,0.035609400933559736,0.035609400933559736
03R020_07,0.08152311085850161,0.08152311085850161,0.08152311085850161
03R020_08,0.02119496853034036,0.02119496853034036,0.02119496853034036
03R020_09,0.04355497066244787,0.04355497066244787,0.04355497066244787
03R020_10,0.06738349985868276,0.06738349985868276,0.06738349985868276
03R030_01,0.06819991503064249,0.06819991503064249,0.06819991503064249
03R030_02,0.019701043645469745,0.019701043645469745,0.019701043645469745
03R030_03,0.014254339852140455,0.014254339852140455,0.014254339852140455
03R030_04,0.03017705397192413,0.03017705397192413,0.03017705397192413
03R030_05,0.024838702367499035,0.024838702367499035,0.024838702367499035
03R030_06,0.07518687194305097,0.07518687194305097,0.07518687194305097
03R030_07,0.027965387639848974,0.027965387639848974,0.027965387639848974
03R030_08,0.10228540815021159,0.10228540815021159,0.10228540815021159
03R030_09,0.08353266677436479,0.08353266677436479,0.08353266677436479
03R030_10,0.041500385877762454,0.041500385877762454,0.041500385877762454
03R040_01,0.013907145818991119,0.013907145818991119,0.013907145818991119
03R040_02,0.09179993626137256,0.09179993626137256,0.09179993626137256
03R040_03,0.02270937551404894,0.02270937551404894,0.02270937551404894
03R040_04,0.1324633841150891,0.1324633841150891,0.1324633841150891
03R040_05,0.03772685208985634,0.03772685208985634,0.03772685208985634
03R040_06,0.05132792679349669,0.05132792679349669,0.05132792679349669
03R040_07,0.016475152813661,0.016475152813661,0.016475152813661
03R040_08,0.01787743123326057,0.01787743123326057,0.01787743123326057
03R040_09,0.06084717044894033,0.06084717044894033,0.06084717044894033
03R040_10,0.00900230295063896,0.00900230295063896,0.00900230295063896
03R050_01,0.023264573551919767,0.023264573551919767,0.023264573551919767
03R050_02,0.027035954195341994,0.027035954195341994,0.027035954195341994
03R050_03,0.017746351646196274,0.017746351646196274,0.017746351646196274
03R050_04,0.02767004898275409,0.02767004898275409,0.02767004898275409
03R050_05,0.05471196262030542,0.05471196262030542,0.05471196262030542
03R050_06,0.05082611494143578,0.05082611494143578,0.05082611494143578
03R050_07,0.028419441912153103,0.028419441912153103,0.028419441912153103
