Network,Mean PC1 Coefficient
03R000_00,32.36622746085161
03R010_01,29.713345465587615
03R010_02,28.274807295202912
03R010_03,27.75448328107126
03R010_04,28.640442788768315
03R010_05,22.169962958044017
03R010_06,30.06538558764705
03R010_07,25.347284447219696
03R010_08,25.65778277671685
03R010_09,28.912422586843583
03R010_10,29.133458642313585
03R020_01,18.7089823709306
03R020_02,24.922921613691106
03R020_03,22.50187536547427
03R020_04,31.672295324872938
03R020_05,24.334826266138535
03R020_06,26.586639024062055
03R020_07,27.8852088060772
03R020_08,27.20762130214174
03R020_09,30.365531100734486
03R020_10,25.590633821723326
03R030_01,30.152218594931426
03R030_02,20.40579647916741
03R030_03,21.89916263907182
03R030_04,22.20050394203601
03R030_05,26.06228667462866
03R030_06,26.871470154292265
03R030_07,22.991490800067922
03R030_08,20.932954699562703
03R030_09,22.20669342201329
03R030_10,26.876021280014463
03R040_01,19.88812827531028
03R040_02,28.52197479742909
03R040_03,23.995225501971575
03R040_04,28.05855319978972
03R040_05,24.103706835409813
03R040_06,29.763784759774126
03R040_07,19.394051507606708
03R040_08,20.757433645717544
03R040_09,25.86808729227871
03R040_10,25.053374808188437
03R050_01,26.96958900043377
03R050_02,21.567523705836066
03R050_03,18.307405341059575
03R050_04,28.04540091547241
03R050_05,26.28616518062538
03R050_06,24.63549549952174
03R050_07,22.78415717037972
03R050_08,18.122902286761345
03R050_09,21.062975872589373
03R050_10,16.54194151350837
03R060_01,24.31177657211162
03R060_02,20.197988188651184
03R060_03,24.338957775533924
03R060_04,19.893229227862076
03R060_05,21.81126907226703
03R060_06,35.96384425218626
03R060_07,16.616837493138963
03R060_08,26.783675807561917
03R060_09,20.208069862327235
03R060_10,24.553989341371583
03R070_01,22.36052083098294
03R070_02,26.41094447524268
03R070_03,22.500509637110664
03R070_04,21.675365230155172
03R070_05,26.243528830341063
03R070_06,25.575565350054006
03R070_07,23.316127631688936
03R070_08,22.66920519739907
03R070_09,15.220557518514399
03R070_10,26.401312519571757
03R080_01,30.618592499885565
03R080_02,19.26777971900986
03R080_03,24.893690399464774
03R080_04,27.749496158981938
03R080_05,29.780247936575087
03R080_06,24.678776596623297
03R080_07,19.962121318337026
03R080_08,25.766664365908195
03R080_09,19.142582398957536
03R080_10,25.781330302895668
03R090_01,20.013804093770595
03R090_02,21.695893802520146
03R090_03,21.13442351020693
03R090_04,22.193757620685965
03R090_05,23.733910288347126
03R090_06,21.02463195756367
03R090_07,23.38263143872085
03R090_08,24.10625889548224
03R090_09,25.22457917870147
03R090_10,22.23501320696819
03R100_01,20.98166850298074
03R100_02,17.16321408799954
03R100_03,19.67850240409464
03R100_04,22.755583078043625
03R100_05,20.12453132418558
03R100_06,22.798290590845966
03R100_07,25.10279635240838
03R100_08,25.66619211291039
03R100_09,26.048333475826936
03R100_10,22.345636952042334
04R000_00,27.350060519704805
04R010_01,27.70165270446695
04R010_02,24.256584040221806
04R010_03,28.59606538160129
04R010_04,27.10918485992798
04R010_05,21.555148610706745
04R010_06,23.83440580665156
04R010_07,27.314849695960177
04R010_08,23.166624967642193
04R010_09,18.167761608159715
04R010_10,23.906851422159097
04R020_01,27.169597761519984
04R020_02,21.459424966663793
04R020_03,22.016717916926883
04R020_04,20.827998290042714
04R020_05,24.97179617051972
04R020_06,22.02657706801721
04R020_07,23.302184247640376
04R020_08,22.876620067072587
04R020_09,32.33445873533197
04R020_10,25.25528206766634
04R030_01,19.824367656766743
04R030_02,26.368222674692042
04R030_03,26.226953177602688
04R030_04,20.33101944080385
04R030_05,21.459071949032385
04R030_06,27.433944722798827
04R030_07,18.578006423888418
04R030_08,24.747508830622046
04R030_09,24.813281065093555
04R030_10,26.067644539974822
04R040_01,17.77749804796799
04R040_02,26.011045913075918
04R040_03,23.6235152787956
04R040_04,19.281137698552538
04R040_05,25.683195977828383
04R040_06,26.87439176071591
04R040_07,25.744399808355105
04R040_08,25.803368483988443
04R040_09,20.437418487021382
04R040_10,18.587471773168293
04R050_01,33.76976463244017
04R050_02,22.283342980212915
04R050_03,23.14655938147491
04R050_04,24.36064003431054
04R050_05,19.83336352469427
04R050_06,23.225104450101988
04R050_07,28.947088493845897
04R050_08,27.94039222395041
04R050_09,26.15358028161335
04R050_10,27.027572984446614
04R060_01,24.891571804243803
04R060_02,22.166949265463845
04R060_03,20.774634278396817
04R060_04,18.56540555372186
04R060_05,20.915000946438884
04R060_06,20.932491601940143
04R060_07,22.637314095772062
04R060_08,22.905562871568275
04R060_09,25.322605685798365
04R060_10,29.75666893275596
04R070_01,25.165883677921013
04R070_02,18.567793521937226
04R070_03,18.57347969786148
04R070_04,21.762701930428165
04R070_05,21.0267627247453
04R070_06,23.409548547260115
04R070_07,25.514150862136713
04R070_08,25.329914402195563
04R070_09,20.613705747453167
04R070_10,24.29944834937737
04R080_01,20.83529892754516
04R080_02,23.573437557959842
04R080_03,19.836794350130766
04R080_04,18.77217065938784
04R080_05,18.065670545719957
04R080_06,23.967001504943344
04R080_07,21.825037343452248
04R080_08,22.051969468621852
04R080_09,17.854127685524936
04R080_10,31.344393672918173
04R090_01,23.947266511760752
04R090_02,20.333798337751375
04R090_03,18.6206197113954
04R090_04,17.14876535531353
