GeneSetID,Genes
SCLC,BEX1
SCLC,ASCL1
SCLC,INSM1
SCLC,CHGA
SCLC,TAGLN3
SCLC,KIF5C
SCLC,CRMP1
SCLC,SCG3
SCLC,SYT4
SCLC,RTN1
SCLC,MYT1
SCLC,SYP
SCLC,KIF1A
SCLC,TMSB15A
SCLC,SYN1
SCLC,SYT11
SCLC,RUNDC3A
SCLC,TFF3
SCLC,CHGB
SCLC,FAM57B
SCLC,SH3GL2
SCLC,BSN
SCLC,SEZ6
SCLC,TMSB15B
SCLC,CELF3
SCLC,RAB27B
SCLC,TGFBR2
SCLC,SLC16A5
SCLC,S100A10
SCLC,ITGB4
SCLC,YAP1
SCLC,LGALS3
SCLC,EPHA2
SCLC,S100A16
SCLC,PLAU
SCLC,ABCC3
SCLC,ARHGDIB
SCLC,CYR61
SCLC,PTGES
SCLC,CCND1
SCLC,IFITM2
SCLC,IFITM3
SCLC,AHNAK
SCLC,CAV2
SCLC,TACSTD2
SCLC,TGFBI
SCLC,EMP1
SCLC,CAV1
SCLC,ANXA1
SCLC,MYOF
EMT,CDH1
EMT,CDH11
EMT,CLDN2
EMT,CLDN4
EMT,DDR2
EMT,EPCAM
EMT,ESRP1
EMT,FAP
EMT,GLI1
EMT,KRT18
EMT,KRT19
EMT,KRT20
EMT,KRT7
EMT,KRT8
EMT,LUM
EMT,MUC1
EMT,PALLD
EMT,PDGFRB
EMT,PDPN
EMT,POSTN
EMT,SPARC
EMT,TNC
Alveolar Fibrotic- Epithelial,A2M
Alveolar Fibrotic- Epithelial,ABCA6
Alveolar Fibrotic- Epithelial,ADAMTS8
Alveolar Fibrotic- Epithelial,ADARB1
Alveolar Fibrotic- Epithelial,ADH1B
Alveolar Fibrotic- Epithelial,ALDH1A1
Alveolar Fibrotic- Epithelial,ANGPT1
Alveolar Fibrotic- Epithelial,ANO1
Alveolar Fibrotic- Epithelial,ANXA1
Alveolar Fibrotic- Epithelial,AOC3
Alveolar Fibrotic- Epithelial,ARHGAP20
Alveolar Fibrotic- Epithelial,BMP5
Alveolar Fibrotic- Epithelial,CAMK2N1
Alveolar Fibrotic- Epithelial,CASP12
Alveolar Fibrotic- Epithelial,CASP4
Alveolar Fibrotic- Epithelial,CD14
Alveolar Fibrotic- Epithelial,CD82
Alveolar Fibrotic- Epithelial,CD8A
Alveolar Fibrotic- Epithelial,CDH11
Alveolar Fibrotic- Epithelial,CDH13
Alveolar Fibrotic- Epithelial,CDO1
Alveolar Fibrotic- Epithelial,CES1
Alveolar Fibrotic- Epithelial,CHRDL1
Alveolar Fibrotic- Epithelial,CMKLR1
Alveolar Fibrotic- Epithelial,COL13A1
Alveolar Fibrotic- Epithelial,COL6A3
Alveolar Fibrotic- Epithelial,COL6A6
Alveolar Fibrotic- Epithelial,COLEC12
Alveolar Fibrotic- Epithelial,CYP3A5
Alveolar Fibrotic- Epithelial,CYP7B1
Alveolar Fibrotic- Epithelial,DHRS3
Alveolar Fibrotic- Epithelial,DKK3
Alveolar Fibrotic- Epithelial,DYNC2LI1
